algorithm,type,size,time_us,comparisons
MSBRadixSort,reverse,1700,1008.6,0
MSBRadixHybrid,reverse,1700,1823.1,6069
StdQuickSort,almost,1700,2445.6,131498
StdMergeSort,almost,1700,2138.3,15202
TernaryQuickSort,almost,1700,3343.4,15079
StringMergeSort,almost,1700,2562.7,6299
MSBRadixSort,almost,1700,1020.6,0
MSBRadixHybrid,almost,1700,1889,6073
StdQuickSort,random,1800,3928.8,153806
StdMergeSort,random,1800,2402.1,23916
TernaryQuickSort,random,1800,5234.6,20629
StringMergeSort,random,1800,3161,15502
MSBRadixSort,random,1800,1094.5,0
MSBRadixHybrid,random,1800,2440,8263
StdQuickSort,reverse,1800,2664,129707
StdMergeSort,reverse,1800,2302.2,15084
TernaryQuickSort,reverse,1800,3572.3,16085
StringMergeSort,reverse,1800,3032.8,6718
MSBRadixSort,reverse,1800,1075.7,0
MSBRadixHybrid,reverse,1800,2108.2,6503
StdQuickSort,almost,1800,2834.4,131919
StdMergeSort,almost,1800,2289.8,17056
TernaryQuickSort,almost,1800,3494.3,16088
StringMergeSort,almost,1800,3214,6653
MSBRadixSort,almost,1800,1137.1,0
MSBRadixHybrid,almost,1800,1986.8,6504
StdQuickSort,random,1900,4676.8,165123
StdMergeSort,random,1900,2565.8,25631
TernaryQuickSort,random,1900,5110.7,22142
StringMergeSort,random,1900,3354.8,16566
MSBRadixSort,random,1900,1177.1,0
MSBRadixHybrid,random,1900,2743.4,8824
StdQuickSort,reverse,1900,2816.7,132288
StdMergeSort,reverse,1900,2433.3,15914
TernaryQuickSort,reverse,1900,3875.2,17052
StringMergeSort,reverse,1900,2908.7,7007
MSBRadixSort,reverse,1900,1124.6,0
MSBRadixHybrid,reverse,1900,2098,6971
StdQuickSort,almost,1900,2807.2,134674
StdMergeSort,almost,1900,2435.1,18254
TernaryQuickSort,almost,1900,5191.8,17137
StringMergeSort,almost,1900,2921.6,7129
MSBRadixSort,almost,1900,1142.3,0
MSBRadixHybrid,almost,1900,2225.9,7008
StdQuickSort,random,2000,4949.2,171461
StdMergeSort,random,2000,2711.1,27275
TernaryQuickSort,random,2000,6077.6,23406
StringMergeSort,random,2000,3641.8,17581
MSBRadixSort,random,2000,1328.6,0
MSBRadixHybrid,random,2000,2793.1,9418
StdQuickSort,reverse,2000,2981.1,133181
StdMergeSort,reverse,2000,2912.3,16715
TernaryQuickSort,reverse,2000,4131.4,18125
StringMergeSort,reverse,2000,3217.9,7381
MSBRadixSort,reverse,2000,1323.8,0
MSBRadixHybrid,reverse,2000,2255.9,7485
StdQuickSort,almost,2000,3025.4,135617
StdMergeSort,almost,2000,2557,19949
TernaryQuickSort,almost,2000,4140.8,18126
StringMergeSort,almost,2000,3221.9,7575
MSBRadixSort,almost,2000,1226.1,0
MSBRadixHybrid,almost,2000,2269.7,7487
StdQuickSort,random,2100,4965.7,181999
StdMergeSort,random,2100,2985.8,28951
TernaryQuickSort,random,2100,8391.2,27792
StringMergeSort,random,2100,4604.7,18544
MSBRadixSort,random,2100,1320.3,0
MSBRadixHybrid,random,2100,3031.5,10056
StdQuickSort,reverse,2100,3635.1,139872
StdMergeSort,reverse,2100,3162.7,17714
TernaryQuickSort,reverse,2100,4339.6,19091
StringMergeSort,reverse,2100,3293.4,7743
MSBRadixSort,reverse,2100,1305.4,0
MSBRadixHybrid,reverse,2100,2859.5,7943
StdQuickSort,almost,2100,3189.7,142439
StdMergeSort,almost,2100,2929.6,21251
TernaryQuickSort,almost,2100,4204.7,19125
StringMergeSort,almost,2100,3602.8,8056
MSBRadixSort,almost,2100,1300.1,0
MSBRadixHybrid,almost,2100,2606.9,7977
StdQuickSort,random,2200,5269,189991
StdMergeSort,random,2200,3327.6,30639
TernaryQuickSort,random,2200,6070.6,24075
StringMergeSort,random,2200,4660.2,19530
MSBRadixSort,random,2200,1393.2,0
MSBRadixHybrid,random,2200,3318.3,10825
StdQuickSort,reverse,2200,3442.9,153106
StdMergeSort,reverse,2200,3094.2,19109
TernaryQuickSort,reverse,2200,4476.7,20094
StringMergeSort,reverse,2200,3636.7,8350
MSBRadixSort,reverse,2200,1355.2,0
MSBRadixHybrid,reverse,2200,3050.7,8411
StdQuickSort,almost,2200,3446.4,153210
StdMergeSort,almost,2200,3159.9,21087
TernaryQuickSort,almost,2200,4614.5,20173
StringMergeSort,almost,2200,3785.3,8236
MSBRadixSort,almost,2200,1367,0
MSBRadixHybrid,almost,2200,2693.2,8494
StdQuickSort,random,2300,5440.2,197163
StdMergeSort,random,2300,3477.6,32308
TernaryQuickSort,random,2300,6229.9,26307
StringMergeSort,random,2300,4349.9,20541
MSBRadixSort,random,2300,1453.1,0
MSBRadixHybrid,random,2300,3458.8,11446
StdQuickSort,reverse,2300,4065.6,167389
StdMergeSort,reverse,2300,3220.3,20334
TernaryQuickSort,reverse,2300,4842.3,21177
StringMergeSort,reverse,2300,3716,8832
MSBRadixSort,reverse,2300,1428.8,0
MSBRadixHybrid,reverse,2300,3150.8,8957
StdQuickSort,almost,2300,3947,165154
StdMergeSort,almost,2300,3236.2,22180
TernaryQuickSort,almost,2300,5091.8,21173
StringMergeSort,almost,2300,3854.1,8590
MSBRadixSort,almost,2300,1435.2,0
MSBRadixHybrid,almost,2300,2733.4,8950
